time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,long_std,rollout/ep_rew_mean,long_mean,return_mean,short_mean,short_std,time/fps,return_std,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance
190000,1950,95,2000.0,0.18196855,314.3578947368421,0.002540966,19.766382,0.15253094,0.07857818,97,2.6225395,940,5.2116851665079595,0.2,-0.00047484427341260016,0.0006994588,-0.11292115268297494,1.2480770349502563,1e-05,0.002734375,0.03428614139556885
192000,1970,96,2000.0,0.18152058,315.6770833333333,0.0023286156,20.070454,0.118004695,0.064975694,97,2.3556354,950,6.262840279191733,0.2,-0.00012289647420402617,0.00015481465,-0.0997373703867197,2.2530264854431152,1e-05,0.0017578125,0.07525759935379028
194000,1991,97,2000.0,0.17692542,316.9484536082474,0.0030286708,20.193983,0.09922926,0.054410283,97,2.7649398,960,5.1833139605820175,0.2,-0.0009990392500185408,0.00057323393,-0.09272603534627706,2.2798209190368652,1e-05,0.012548828125,0.06046617031097412
196000,2012,98,2000.0,0.19246733,318.03061224489795,0.004197755,20.239414,0.18415873,0.103150316,97,2.3652434,970,6.674095924198627,0.2,-0.0002508043427951634,9.722411e-05,-0.09294724010396749,2.179736375808716,1e-05,0.0,0.10320156812667847
198000,2033,99,2000.0,0.17804275,318.6868686868687,0.0027297908,19.739027,0.14360903,0.08313634,97,2.5425084,980,5.220283076167107,0.2,-0.0007662752090254798,0.00053465564,-0.09066683537093922,1.121996283531189,1e-05,0.00673828125,0.04991418123245239
200000,2054,100,2000.0,0.18377662,319.19,0.0035144892,19.401632,0.17469788,0.081331804,97,2.377419,990,6.113052207231521,0.2,5.870477471034974e-05,0.00028981845,-0.08812046326929704,12.94427490234375,1e-05,0.0021484375,0.06312918663024902
202000,2076,101,2000.0,0.18356963,321.54,0.0014285286,19.044897,0.16506995,0.0986058,97,2.4686956,1000,5.260653399676085,0.2,-0.0003683548915432766,0.000274153,-0.08700802407693117,4.44412088394165,1e-05,0.004638671875,0.0658489465713501
204000,2096,102,2000.0,0.18074352,324.96,0.003204509,19.14238,0.2061652,0.096253924,97,2.4410164,1010,5.994290239363909,0.2,-0.0009065452984941657,0.0005415637,-0.08103823787532746,3.3250362873077393,1e-05,0.009423828125,0.025832414627075195
206000,2117,103,2000.0,0.17996103,328.4,0.0038295202,18.585485,0.15668762,0.0917731,97,2.415569,1020,5.614207595586777,0.2,-0.00030237844330258665,0.000104659266,-0.07593575643841177,7.3698577880859375,1e-05,0.004345703125,0.045127153396606445
208000,2137,104,2000.0,0.18626027,332.03,0.0032614206,18.163235,0.17366514,0.08296976,97,2.3868108,1030,5.507609675079584,0.2,-0.00019604298722697422,0.00039727602,-0.07673299808520824,1.5709593296051025,1e-05,0.002001953125,0.065096914768219
